seqnames	start	end	width	strand	siteCount	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	state
chr1	159135201	159141400	6200	*	2	Promoter (<=1kb)	1	159063579	159140508	76930	2	9447	ENST00000368129.3	0	ENSG00000163568	AIM2	absent in melanoma 2	16_ReprPC
chr1	164289001	164291400	2400	*	2	Distal Intergenic	1	164555584	164564015	8432	1	5087	ENST00000467023.5	-264184	ENSG00000185630	PBX1	PBX homeobox 1	16_ReprPC
chr1	164529801	164532800	3000	*	2	Distal Intergenic	1	164555584	164564015	8432	1	5087	ENST00000467023.5	-22784	ENSG00000185630	PBX1	PBX homeobox 1	16_ReprPC
chr1	164556401	164558800	2400	*	2	Promoter (<=1kb)	1	164559184	164851831	292648	1	5087	ENST00000420696.7	-384	ENSG00000185630	PBX1	PBX homeobox 1	16_ReprPC
chr1	164666401	164677600	11200	*	1	Exon (ENST00000474046.1/5087, exon 4 of 5)	1	164630981	164799889	168909	1	5087	ENST00000482110.5	35420	ENSG00000185630	PBX1	PBX homeobox 1	16_ReprPC
chr1	164680001	164685400	5400	*	2	Exon (ENST00000498497.2/5087, exon 3 of 3)	1	164630981	164799889	168909	1	5087	ENST00000482110.5	49020	ENSG00000185630	PBX1	PBX homeobox 1	16_ReprPC
chr1	165202001	165209000	7000	*	2	Promoter (1-2kb)	1	165210627	165213090	2464	1	105371561	ENST00000457106.1	-1627	NA	LMX1A-AS2	LMX1A antisense RNA 2	16_ReprPC
chr1	165321801	165334000	12200	*	3	Intron (ENST00000342310.7/4009, intron 3 of 8)	1	165203874	165355746	151873	2	4009	ENST00000367893.4	21746	ENSG00000162761	LMX1A	LIM homeobox transcription factor 1 alpha	16_ReprPC
chr1	166130601	166136000	5400	*	1	Intron (ENST00000435676.2/149297, intron 1 of 2)	1	166154743	166154798	56	2	100126349	ENST00000401133.1	18798	ENSG00000215952	MIR921	microRNA 921	16_ReprPC
chr1	166136601	166140000	3400	*	1	Intron (ENST00000435676.2/149297, intron 1 of 2)	1	166154743	166154798	56	2	100126349	ENST00000401133.1	14798	ENSG00000215952	MIR921	microRNA 921	16_ReprPC
chr1	166888201	166889800	1600	*	1	Distal Intergenic	1	166856510	166876264	19755	2	117143	ENST00000367874.5	-11937	ENSG00000152382	TADA1	transcriptional adaptor 1	16_ReprPC
chr1	170625201	170646200	21000	*	2	Exon (ENST00000413005.1/ENST00000413005.1, exon 2 of 3)	1	170662728	170719903	57176	1	5396	ENST00000553786.1	-16528	ENSG00000116132	PRRX1	paired related homeobox 1	16_ReprPC
chr1	175566801	175570000	3200	*	2	Intron (ENST00000367674.7/7143, intron 1 of 22)	1	175391428	175406364	14937	2	7143	ENST00000422274.2	-160437	ENSG00000116147	TNR	tenascin R	16_ReprPC
chr1	190443201	190449800	6600	*	4	Intron (ENST00000367462.5/339479, intron 2 of 7)	1	190454807	190474801	19995	2	339479	ENST00000445957.2	25001	ENSG00000162670	BRINP3	BMP/retinoic acid inducible neural specific 3	16_ReprPC
chr1	197872801	197880400	7600	*	1	Distal Intergenic	1	197902630	197907362	4733	1	388722	ENST00000367393.8	-22230	ENSG00000203724	C1orf53	chromosome 1 open reading frame 53	16_ReprPC
chr1	197889801	197905000	15200	*	1	Promoter (<=1kb)	1	197902630	197907362	4733	1	388722	ENST00000367393.8	0	ENSG00000203724	C1orf53	chromosome 1 open reading frame 53	16_ReprPC
chr1	201248001	201256800	8800	*	1	Distal Intergenic	1	201283452	201332993	49542	1	5317	ENST00000263946.7	-26652	ENSG00000081277	PKP1	plakophilin 1	16_ReprPC
chr1	204319801	204320600	800	*	1	Intron (ENST00000272203.8/22874, intron 1 of 22)	1	204220756	204307395	86640	2	22874	ENST00000637508.1	-12406	ENSG00000143850	PLEKHA6	pleckstrin homology domain containing A6	16_ReprPC
chr1	209752401	209762200	9800	*	1	Promoter (<=1kb)	1	209756032	209779655	23624	1	80342	ENST00000400959.7	0	ENSG00000009790	TRAF3IP3	TRAF3 interacting protein 3	16_ReprPC
chr1	212688401	212691000	2600	*	2	Promoter (<=1kb)	1	212686418	212687509	1092	2	55509	ENST00000471382.5	-892	ENSG00000123685	BATF3	basic leucine zipper ATF-like transcription factor 3	16_ReprPC
chr1	214149401	214161200	11800	*	2	Intron (ENST00000637598.1/105372911, intron 1 of 4)	1	214051194	214187773	136580	2	105372911	ENST00000637598.1	26573	NA	LINC02775	long intergenic non-protein coding RNA 2775	16_ReprPC
chr1	218097801	218099000	1200	*	1	Distal Intergenic	1	218046943	218049221	2279	2	105372922	ENST00000664236.1	-48580	NA	LOC105372922	uncharacterized LOC105372922	16_ReprPC
chr1	221061401	221064200	2800	*	1	Distal Intergenic	1	220881069	220884493	3425	1	3142	ENST00000427693.1	180332	ENSG00000136630	HLX	H2.0 like homeobox	16_ReprPC
chr1	227976801	227977800	1000	*	1	Exon (ENST00000425003.2/ENST00000425003.2, exon 1 of 3)	1	227918656	227947932	29277	2	7483	ENST00000272164.6	-28869	ENSG00000143816	WNT9A	Wnt family member 9A	16_ReprPC
chr1	228567201	228569600	2400	*	1	Distal Intergenic	1	228610268	228610386	119	2	100169751	ENST00000362482.1	40786	ENSG00000199352	RNA5S1	RNA, 5S ribosomal 1	16_ReprPC
chr1	228653001	228659600	6600	*	1	Distal Intergenic	1	228646040	228646158	119	2	100169768	ENST00000363500.1	-6843	ENSG00000200370	RNA5S17	RNA, 5S ribosomal 17	16_ReprPC
chr1	228698001	228705200	7200	*	1	Distal Intergenic	1	228735479	228746664	11186	1	58480	ENST00000366691.4	-30279	ENSG00000116574	RHOU	ras homolog family member U	16_ReprPC
chr1	237201601	237210800	9200	*	1	Intron (ENST00000366574.7/6262, intron 1 of 104)	1	237270497	237832644	562148	1	6262	ENST00000360064.7	-59697	ENSG00000198626	RYR2	ryanodine receptor 2	16_ReprPC
chr1	239551601	239554200	2600	*	2	Intron (ENST00000468573.5/1131, intron 3 of 8)	1	239613328	239909378	296051	1	1131	ENST00000676433.1	-59128	ENSG00000133019	CHRM3	cholinergic receptor muscarinic 3	16_ReprPC
chr1	242683201	242691800	8600	*	1	Distal Intergenic	1	242082986	242524697	441712	2	200150	ENST00000536534.7	-158504	ENSG00000180287	PLD5	phospholipase D family member 5	16_ReprPC
chr1	247275801	247278200	2400	*	1	Distal Intergenic	1	247255972	247257210	1239	1	317705	ENST00000472952.3	19829	ENSG00000197617	VN1R5	vomeronasal 1 receptor 5 (gene/pseudogene)	16_ReprPC
chr10	1651201	1652600	1400	*	2	Intron (ENST00000381312.6/105, intron 1 of 9)	10	1177313	1737525	560213	2	105	ENST00000381312.6	84925	ENSG00000185736	ADARB2	adenosine deaminase RNA specific B2 (inactive)	16_ReprPC
chr10	3105001	3108800	3800	*	1	Promoter (<=1kb)	10	3104879	3107233	2355	1	5214	ENST00000460445.1	122	ENSG00000067057	PFKP	phosphofructokinase, platelet	16_ReprPC
chr10	23455801	23469200	13400	*	1	Intron (ENST00000668836.1/ENST00000668836.1, intron 1 of 2)	10	23439075	23442377	3303	1	220213	ENST00000376495.5	16726	ENSG00000165312	OTUD1	OTU deubiquitinase 1	16_ReprPC
chr10	25464001	25468000	4000	*	2	Promoter (<=1kb)	10	25466190	25475949	9760	1	57512	ENST00000482641.2	0	ENSG00000151025	GPR158	G protein-coupled receptor 158	16_ReprPC
chr10	33561001	33563600	2600	*	1	Distal Intergenic	10	33578931	33600040	21110	2	105376490	ENST00000457848.1	36440	NA	LINC02628	long intergenic non-protein coding RNA 2628	16_ReprPC
chr10	50814601	50819200	4600	*	1	Exon (ENST00000483649.1/653308, exon 6 of 7)	10	50811044	50828461	17418	2	29974	ENST00000493415.5	9261	ENSG00000148584	A1CF	APOBEC1 complementation factor	16_ReprPC
chr10	50819401	50827600	8200	*	1	Promoter (<=1kb)	10	50811044	50828461	17418	2	29974	ENST00000493415.5	861	ENSG00000148584	A1CF	APOBEC1 complementation factor	16_ReprPC
chr10	54074801	54077000	2200	*	1	Intron (ENST00000644397.2/65217, intron 17 of 37)	10	53806326	54195846	389521	2	65217	ENST00000642496.1	118846	ENSG00000150275	PCDH15	protocadherin related 15	16_ReprPC
chr10	63213401	63215600	2200	*	2	Promoter (2-3kb)	10	63167221	63217711	50491	2	221037	ENST00000639129.1	2111	ENSG00000171988	JMJD1C	jumonji domain containing 1C	16_ReprPC
chr10	72218801	72220400	1600	*	3	Promoter (1-2kb)	10	72097254	72217134	119881	2	51008	ENST00000317126.8	-1667	ENSG00000138303	ASCC1	activating signal cointegrator 1 complex subunit 1	16_ReprPC
chr10	77042001	77043800	1800	*	1	Promoter (2-3kb)	10	76885204	77039538	154335	2	3778	ENST00000639716.1	-2463	ENSG00000156113	KCNMA1	potassium calcium-activated channel subfamily M alpha 1	16_ReprPC
chr10	88726801	88728000	1200	*	1	Exon (ENST00000404190.3/643414, exon 3 of 10)	10	88706249	88752776	46528	1	643414	ENST00000404190.3	20552	ENSG00000204021	LIPK	lipase family member K	16_ReprPC
chr10	94819001	94821200	2200	*	1	3' UTR	10	94773837	94853164	79328	1	1557	ENST00000645461.1	45164	ENSG00000165841	CYP2C19	cytochrome P450 family 2 subfamily C member 19	16_ReprPC
chr10	100986001	100992800	6800	*	1	Promoter (<=1kb)	10	100987367	100993363	5997	1	56652	ENST00000476766.5	0	ENSG00000107815	TWNK	twinkle mtDNA helicase	16_ReprPC
chr10	101277201	101280000	2800	*	1	Distal Intergenic	10	101252821	101263550	10730	2	101927419	ENST00000422661.1	-13651	ENSG00000229649	LINC02681	long intergenic non-protein coding RNA 2681	16_ReprPC
chr10	101288801	101289600	800	*	1	Distal Intergenic	10	101252821	101263550	10730	2	101927419	ENST00000422661.1	-25251	ENSG00000229649	LINC02681	long intergenic non-protein coding RNA 2681	16_ReprPC
chr10	102278201	102279000	800	*	1	Intron (ENST00000676513.1/8729, intron 3 of 39)	10	102284010	102344182	60173	1	8729	ENST00000677852.1	-5010	ENSG00000107862	GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1	16_ReprPC
chr10	102279801	102281200	1400	*	1	Promoter (2-3kb)	10	102284010	102344182	60173	1	8729	ENST00000677852.1	-2810	ENSG00000107862	GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1	16_ReprPC
chr10	102804601	102809600	5000	*	5	Intron (ENST00000448841.7/54838, intron 2 of 3)	10	102830948	102831703	756	2	1586	ENST00000469683.1	22103	ENSG00000148795	CYP17A1	cytochrome P450 family 17 subfamily A member 1	16_ReprPC
chr10	102881601	102894200	12600	*	1	3' UTR	10	102869516	102901894	32379	1	57412	ENST00000615257.1	12085	ENSG00000214435	AS3MT	arsenite methyltransferase	16_ReprPC
chr10	102895401	102902200	6800	*	1	3' UTR	10	102918294	103090222	171929	1	54805	ENST00000369878.9	-16094	ENSG00000148842	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2	16_ReprPC
chr10	102902401	102921600	19200	*	2	Promoter (<=1kb)	10	102898649	102918335	19687	2	107984265	ENST00000652934.1	0	ENSG00000286575	LOC107984265	uncharacterized LOC107984265	16_ReprPC
chr10	102974801	102977000	2200	*	1	Intron (ENST00000369878.9/54805, intron 1 of 7)	10	102918357	103078351	159995	1	54805	ENST00000433628.2	56444	ENSG00000148842	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2	16_ReprPC
chr10	103466401	103470000	3600	*	1	Distal Intergenic	10	103453240	103458900	5661	2	255022	ENST00000329905.6	-7501	ENSG00000185933	CALHM1	calcium homeostasis modulator 1	16_ReprPC
chr10	103524601	103538400	13800	*	1	Intron (ENST00000369780.8/9148, intron 1 of 5)	10	103479603	103517393	37791	2	102724341	ENST00000453753.5	-7208	ENSG00000235470	NEURL1-AS1	NEURL1 antisense RNA 1	16_ReprPC
chr10	104169401	104170200	800	*	1	Intron (ENST00000357060.8/80217, intron 20 of 37)	10	104129889	104161122	31234	2	80217	ENST00000457071.5	-8279	ENSG00000197748	CFAP43	cilia and flagella associated protein 43	16_ReprPC
chr10	106391601	106406800	15200	*	1	Distal Intergenic	10	106577198	106607218	30021	2	114815	ENST00000473866.1	200418	ENSG00000108018	SORCS1	sortilin related VPS10 domain containing receptor 1	16_ReprPC
chr10	110671201	110673800	2600	*	3	Intron (ENST00000369519.4/282996, intron 1 of 13)	10	110644336	110839468	195133	1	282996	ENST00000369519.4	26865	ENSG00000203867	RBM20	RNA binding motif protein 20	16_ReprPC
chr10	115999401	116005400	6000	*	2	Distal Intergenic	10	115909351	115944959	35609	1	26033	ENST00000449616.2	90050	ENSG00000107518	ATRNL1	attractin like 1	16_ReprPC
chr10	116163801	116166600	2800	*	2	Intron (ENST00000369236.5/2674, intron 3 of 8)	10	116064211	116255795	191585	2	2674	ENST00000682724.1	89195	ENSG00000151892	GFRA1	GDNF family receptor alpha 1	16_ReprPC
chr10	116392201	116395200	3000	*	1	Distal Intergenic	10	116427847	116477957	50111	1	119548	ENST00000369230.4	-32647	ENSG00000203837	PNLIPRP3	pancreatic lipase related protein 3	16_ReprPC
chr10	118368001	118370200	2200	*	1	Intron (ENST00000668223.1/100506126, intron 2 of 2)	10	118357108	118359203	2096	1	100506126	ENST00000445161.5	10893	ENSG00000232139	LINC00867	long intergenic non-protein coding RNA 867	16_ReprPC
