seqnames	start	end	width	strand	siteCount	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	enhancerGroup
chr17	76335001	76337600	2600	*	2	Exon (ENST00000384440.1/ENST00000384440.1, exon 1 of 1)	17	76313824	76330301	16478	2	5635	ENST00000586137.1	-4700	ENSG00000161542	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1	11_EnhWk
chr17	76976001	76976600	600	*	3	Distal Intergenic	17	76950474	76969156	18683	2	105371899	ENST00000564292.5	-6845	ENSG00000267568	LOC105371899	uncharacterized LOC105371899	11_EnhWk
chr17	78733601	78735400	1800	*	3	Promoter (1-2kb)	17	78698269	78736890	38622	2	9267	ENST00000589768.5	1490	ENSG00000108669	CYTH1	cytohesin 1	11_EnhWk
chr17	79004601	79005000	400	*	2	Promoter (1-2kb)	17	78997666	79006213	8548	2	124583	ENST00000592887.1	1213	ENSG00000171302	CANT1	calcium activated nucleotidase 1	11_EnhWk
chr17	79453601	79454600	1000	*	2	Intron (ENST00000583458.5/146713, intron 1 of 13)	17	79089345	79482598	393254	2	146713	ENST00000583458.5	27998	ENSG00000167281	RBFOX3	RNA binding fox-1 homolog 3	11_EnhWk
chr17	79798801	79799800	1000	*	2	Promoter (<=1kb)	17	79795049	79798331	3283	2	57332	ENST00000413392.5	-470	ENSG00000141570	CBX8	chromobox 8	11_EnhWk
chr18	13371401	13372400	1000	*	2	Promoter (2-3kb)	18	13375083	13389812	14730	1	753	ENST00000676815.1	-2683	ENSG00000168675	LDLRAD4	low density lipoprotein receptor class A domain containing 4	11_EnhWk
chr18	56335601	56337600	2000	*	2	Distal Intergenic	18	56003613	56191262	187650	2	642484	ENST00000382897.2	-144339	ENSG00000206129	LOC642484	uncharacterized LOC642484	11_EnhWk
chr18	61252601	61253400	800	*	2	Distal Intergenic	18	61333430	61555779	222350	1	28316	ENST00000262717.9	-80030	ENSG00000101542	CDH20	cadherin 20	11_EnhWk
chr19	38545401	38546400	1000	*	3	Intron (ENST00000359596.8/6261, intron 87 of 105)	19	38534760	38548372	13613	1	6261	ENST00000593322.1	10641	ENSG00000196218	RYR1	ryanodine receptor 1	11_EnhWk
chr19	54850001	54851000	1000	*	3	Promoter (<=1kb)	19	54850443	54867207	16765	1	3812	ENST00000326321.7	0	ENSG00000240403	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2	11_EnhWk
chr2	9470401	9471400	1000	*	2	Promoter (2-3kb)	2	9473658	9484548	10891	1	285148	ENST00000496603.5	-2258	ENSG00000134330	IAH1	isoamyl acetate hydrolyzing esterase 1 (putative)	11_EnhWk
chr2	25525201	25530800	5600	*	2	Intron (ENST00000495466.6/1838, intron 8 of 18)	2	25388318	25497651	109334	2	1838	ENST00000481841.5	-27550	ENSG00000138101	DTNB	dystrobrevin beta	11_EnhWk
chr2	28549001	28550000	1000	*	2	Promoter (<=1kb)	2	28548500	28596063	47564	1	151056	ENST00000436544.1	501	ENSG00000163803	PLB1	phospholipase B1	11_EnhWk
chr2	55345601	55349600	4000	*	2	Promoter (<=1kb)	2	55334990	55349719	14730	2	55704	ENST00000646474.1	119	ENSG00000115355	CCDC88A	coiled-coil domain containing 88A	11_EnhWk
chr2	103035801	103036800	1000	*	2	Distal Intergenic	2	102967408	102984429	17022	2	105373519	ENST00000431897.1	-51372	ENSG00000224095	LINC01935	long intergenic non-protein coding RNA 1935	11_EnhWk
chr2	103038201	103042800	4600	*	2	Distal Intergenic	2	102967408	102984429	17022	2	105373519	ENST00000431897.1	-53772	ENSG00000224095	LINC01935	long intergenic non-protein coding RNA 1935	11_EnhWk
chr2	106369801	106372600	2800	*	2	Promoter (<=1kb)	2	106369724	106378247	8524	1	402096	ENST00000447760.1	77	NA	ANAPC1P6	ANAPC1 pseudogene 6	11_EnhWk
chr2	113478001	113482000	4000	*	2	Promoter (<=1kb)	2	113481518	113496121	14604	1	150472	ENST00000468417.1	0	ENSG00000136682	CBWD2	COBW domain containing 2	11_EnhWk
chr2	169402001	169402800	800	*	2	Distal Intergenic	2	169240750	169362534	121785	2	4036	ENST00000443831.1	-39467	ENSG00000081479	LRP2	LDL receptor related protein 2	11_EnhWk
chr2	241585601	241586200	600	*	3	Intron (ENST00000402136.5/51078, intron 4 of 4)	2	241584420	241602170	17751	2	51078	ENST00000321679.4	15970	ENSG00000176946	THAP4	THAP domain containing 4	11_EnhWk
chr20	19867001	19867200	200	*	3	Intron (ENST00000432334.2/54453, intron 3 of 3)	20	19886521	20002457	115937	1	54453	ENST00000648440.1	-19321	ENSG00000132669	RIN2	Ras and Rab interactor 2	11_EnhWk
chr20	20036601	20037200	600	*	2	Promoter (1-2kb)	20	20036006	20038452	2447	2	51340	ENST00000521379.1	1252	ENSG00000101343	CRNKL1	crooked neck pre-mRNA splicing factor 1	11_EnhWk
chr22	36563001	36563400	400	*	3	3' UTR	22	36523115	36529184	6070	2	8664	ENST00000432675.4	-33817	ENSG00000100353	EIF3D	eukaryotic translation initiation factor 3 subunit D	11_EnhWk
chr22	43524401	43525600	1200	*	2	Intron (ENST00000431327.4/100874197, intron 2 of 2)	22	43528780	43532061	3282	2	64800	ENST00000477145.1	6461	ENSG00000186976	EFCAB6	EF-hand calcium binding domain 6	11_EnhWk
chr3	52099201	52100200	1000	*	2	Intron (ENST00000296484.7/25886, intron 9 of 10)	3	52048919	52056571	7653	2	1849	ENST00000495880.2	-42630	ENSG00000164086	DUSP7	dual specificity phosphatase 7	11_EnhWk
chr3	58200401	58200600	200	*	2	Intron (ENST00000486455.5/1776, intron 4 of 6)	3	58192628	58204823	12196	2	1776	ENST00000477209.5	4223	ENSG00000163687	DNASE1L3	deoxyribonuclease 1 like 3	11_EnhWk
chr3	112218201	112218800	600	*	2	Intron (ENST00000305815.10/285335, intron 14 of 28)	3	112141216	112286879	145664	2	285335	ENST00000471295.1	68079	ENSG00000172139	SLC9C1	solute carrier family 9 member C1	11_EnhWk
chr3	153942001	153942600	600	*	3	Intron (ENST00000488210.1/105374165, intron 1 of 3)	3	153730761	153980186	249426	2	105374165	ENST00000488210.1	37586	NA	LINC02006	long intergenic non-protein coding RNA 2006	11_EnhWk
chr3	194500001	194501200	1200	*	2	Promoter (1-2kb)	3	194402672	194498364	95693	2	79572	ENST00000439040.5	-1637	ENSG00000133657	ATP13A3	ATPase 13A3	11_EnhWk
chr3	194825401	194826800	1400	*	2	Exon (ENST00000667646.1/105374292, exon 4 of 4)	3	194769423	194779686	10264	1	100507391	ENST00000662703.1	55978	ENSG00000237222	LINC01968	long intergenic non-protein coding RNA 1968	11_EnhWk
chr4	3365201	3365400	200	*	3	Intron (ENST00000506631.5/6002, intron 2 of 7)	4	3369879	3439905	70027	1	6002	ENST00000338806.4	-4479	ENSG00000159788	RGS12	regulator of G protein signaling 12	11_EnhWk
chr4	36287601	36288200	600	*	2	Intron (ENST00000639862.2/401124, intron 2 of 9)	4	36284022	36344785	60764	1	401124	ENST00000456874.3	3579	ENSG00000197057	DTHD1	death domain containing 1	11_EnhWk
chr4	86850001	86851200	1200	*	2	Promoter (<=1kb)	4	86823468	86849384	25917	2	345274	ENST00000273905.7	-617	ENSG00000145283	SLC10A6	solute carrier family 10 member 6	11_EnhWk
chr4	154449001	154449600	600	*	2	Intron (ENST00000357232.10/54798, intron 1 of 19)	4	154486443	154491334	4892	2	54798	ENST00000456341.2	41734	ENSG00000197410	DCHS2	dachsous cadherin-related 2	11_EnhWk
chr5	14925001	14926400	1400	*	2	Distal Intergenic	5	14970909	14992961	22053	1	107986376	ENST00000659286.1	-44509	ENSG00000286441	LOC107986376	uncharacterized LOC107986376	11_EnhWk
chr5	131436201	131438600	2400	*	2	3' UTR	5	131425887	131447401	21515	2	51735	ENST00000512611.5	8801	ENSG00000158987	RAPGEF6	Rap guanine nucleotide exchange factor 6	11_EnhWk
chr5	143191601	143191800	200	*	3	Promoter (<=1kb)	5	143192500	143194166	1667	1	100874372	ENST00000433186.1	-700	ENSG00000230789	ARHGAP26-IT1	ARHGAP26 intronic transcript 1	11_EnhWk
chr5	148419801	148422000	2200	*	2	Promoter (1-2kb)	5	148423749	148427270	3522	1	81545	ENST00000514832.1	-1749	ENSG00000145868	FBXO38	F-box protein 38	11_EnhWk
chr5	148808001	148810200	2200	*	2	Distal Intergenic	5	148826611	148828623	2013	1	154	ENST00000305988.6	-16411	ENSG00000169252	ADRB2	adrenoceptor beta 2	11_EnhWk
chr6	2020801	2022600	1800	*	2	Intron (ENST00000530927.5/2762, intron 4 of 10)	6	1930107	2043433	113327	2	2762	ENST00000530459.1	20833	ENSG00000112699	GMDS	GDP-mannose 4,6-dehydratase	11_EnhWk
chr6	30123601	30124400	800	*	3	Distal Intergenic	6	30102897	30113090	10194	2	11074	ENST00000376734.4	-10511	ENSG00000204616	TRIM31	tripartite motif containing 31	11_EnhWk
chr6	132931401	132932000	600	*	2	Distal Intergenic	6	132954257	133106425	152169	1	285735	ENST00000670829.1	-22257	ENSG00000231023	LINC00326	long intergenic non-protein coding RNA 326	11_EnhWk
chr6	155510001	155510600	600	*	2	Distal Intergenic	6	155395368	155455839	60472	2	50508	ENST00000159060.3	-54162	ENSG00000074771	NOX3	NADPH oxidase 3	11_EnhWk
chr7	2650001	2653800	3800	*	3	Promoter (<=1kb)	7	2652825	2658456	5632	1	80727	ENST00000498454.1	0	ENSG00000136295	TTYH3	tweety family member 3	11_EnhWk
chr7	5274401	5275400	1000	*	2	Promoter (<=1kb)	7	5274369	5291766	17398	1	222962	ENST00000434816.5	32	ENSG00000164638	SLC29A4	solute carrier family 29 member 4	11_EnhWk
chr7	150548401	150549400	1000	*	4	Distal Intergenic	7	150567369	150573514	6146	1	55303	ENST00000461940.5	-17969	ENSG00000133574	GIMAP4	GTPase, IMAP family member 4	11_EnhWk
chr8	1871201	1872400	1200	*	2	Intron (ENST00000635855.1/9639, intron 8 of 29)	8	1876051	1927513	51463	1	9639	ENST00000523711.5	-3651	ENSG00000104728	ARHGEF10	Rho guanine nucleotide exchange factor 10	11_EnhWk
chr8	29316601	29317200	600	*	2	Distal Intergenic	8	29336539	29348805	12267	2	1846	ENST00000240101.2	31605	ENSG00000120875	DUSP4	dual specificity phosphatase 4	11_EnhWk
chr8	37378001	37379600	1600	*	3	Distal Intergenic	8	37405439	37406724	1286	2	100507420	ENST00000520431.1	27124	ENSG00000253414	LINC01605	long intergenic non-protein coding RNA 1605	11_EnhWk
chr8	77528401	77528600	200	*	2	Intron (ENST00000518706.6/105375909, intron 6 of 6)	8	77450697	77476381	25685	1	102724874	ENST00000524014.1	77704	NA	LOC102724874	uncharacterized LOC102724874	11_EnhWk
chr8	129115001	129115600	600	*	2	Intron (ENST00000675388.1/137196, intron 5 of 8)	8	129216467	129223370	6904	2	728724	ENST00000658740.1	107770	ENSG00000229140	LINC00977	long intergenic non-protein coding RNA 977	11_EnhWk
chr8	130426401	130428400	2000	*	3	Promoter (<=1kb)	8	130180867	130427802	246936	2	50807	ENST00000520927.5	0	ENSG00000153317	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	11_EnhWk
chr8	142237801	142239400	1600	*	2	Intron (ENST00000524325.6/203062, intron 12 of 13)	8	142198356	142209003	10648	1	619434	ENST00000517704.1	39445	ENSG00000254008	LINC00051	long intergenic non-protein coding RNA 51	11_EnhWk
chr8	142296801	142297600	800	*	2	Intron (ENST00000524325.6/203062, intron 10 of 13)	8	142271567	142279997	8431	2	203062	ENST00000521825.1	-16804	ENSG00000171045	TSNARE1	t-SNARE domain containing 1	11_EnhWk
chr8	144429601	144433200	3600	*	2	Promoter (1-2kb)	8	144423601	144428563	4963	2	51160	ENST00000377348.6	-1038	ENSG00000160948	VPS28	VPS28 subunit of ESCRT-I	11_EnhWk
chr8	144630801	144633000	2200	*	2	Distal Intergenic	8	144529179	144605816	76638	2	80728	ENST00000276826.5	-24985	ENSG00000147799	ARHGAP39	Rho GTPase activating protein 39	11_EnhWk
chr1	65363401	65364000	600	*	2	Promoter (2-3kb)	1	65366065	65379788	13724	1	9829	ENST00000472787.1	-2065	ENSG00000116675	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	10_EnhA2
chr1	207242201	207242800	600	*	2	Intron (ENST00000634239.1/ENST00000634239.1, intron 1 of 3)	1	207321532	207340766	19235	1	1604	ENST00000367063.6	-78732	ENSG00000196352	CD55	CD55 molecule (Cromer blood group)	10_EnhA2
chr15	83736601	83737000	400	*	2	Intron (ENST00000567476.1/57188, intron 3 of 29)	15	83694294	83819979	125686	1	57188	ENST00000565653.1	42307	ENSG00000156218	ADAMTSL3	ADAMTS like 3	10_EnhA2
chr16	81527401	81527600	200	*	3	Intron (ENST00000537098.8/80790, intron 1 of 20)	16	81533902	81533966	65	1	102465840	ENST00000620068.1	-6302	ENSG00000277255	MIR7854	microRNA 7854	10_EnhA2
chr16	89468601	89473000	4400	*	2	Intron (ENST00000378330.7/29123, intron 1 of 13)	16	89291728	89489193	197466	2	29123	ENST00000562816.5	16193	ENSG00000167522	ANKRD11	ankyrin repeat domain 11	10_EnhA2
chr17	1736801	1738200	1400	*	2	3' UTR	17	1742836	1755265	12430	1	5345	ENST00000324015.7	-4636	ENSG00000167711	SERPINF2	serpin family F member 2	10_EnhA2
chr17	79129001	79131200	2200	*	3	Intron (ENST00000583458.5/146713, intron 3 of 13)	17	79089367	79115580	26214	2	146713	ENST00000648001.1	-13421	ENSG00000167281	RBFOX3	RNA binding fox-1 homolog 3	10_EnhA2
chr3	71084601	71085000	400	*	2	Intron (ENST00000649528.3/27086, intron 7 of 20)	3	71053718	71095387	41670	2	27086	ENST00000650555.1	10387	ENSG00000114861	FOXP1	forkhead box P1	10_EnhA2
chr7	4778801	4779600	800	*	3	Promoter (2-3kb)	7	4781613	4791744	10132	1	9907	ENST00000496303.6	-2013	ENSG00000242802	AP5Z1	adaptor related protein complex 5 subunit zeta 1	10_EnhA2
chr1	25291201	25292600	1400	*	5	Intron (ENST00000564398.5/6007, intron 3 of 6)	1	25272548	25329211	56664	1	6007	ENST00000568195.5	18653	ENSG00000187010	RHD	Rh blood group D antigen	9_EnhA1
chr1	28469601	28472800	3200	*	2	Intron (ENST00000632421.1/65979, intron 7 of 14)	1	28491695	28500364	8670	1	65979	ENST00000632964.1	-18895	ENSG00000204138	PHACTR4	phosphatase and actin regulator 4	9_EnhA1
chr1	150577201	150578000	800	*	2	Promoter (1-2kb)	1	150574176	150579477	5302	2	4170	ENST00000464132.2	1477	ENSG00000143384	MCL1	MCL1 apoptosis regulator, BCL2 family member	9_EnhA1
chr1	169081001	169082000	1000	*	2	Intron (ENST00000650631.1/1805, intron 1 of 8)	1	168903905	169087005	183101	2	101978719	ENST00000366408.3	5005	ENSG00000203601	LINC00970	long intergenic non-protein coding RNA 970	9_EnhA1
chr1	227151601	227152200	600	*	2	Intron (ENST00000366767.7/8476, intron 6 of 34)	1	227111984	227112799	816	2	8476	ENST00000466538.1	-38802	ENSG00000143776	CDC42BPA	CDC42 binding protein kinase alpha	9_EnhA1
chr1	228352001	228352800	800	*	2	Promoter (<=1kb)	1	228353007	228361250	8244	1	84033	ENST00000474237.2	-207	ENSG00000154358	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	9_EnhA1
chr1	235091601	235094800	3200	*	3	Distal Intergenic	1	235065479	235074220	8742	2	107985746	ENST00000628622.1	-17381	NA	LOC107985746	uncharacterized LOC107985746	9_EnhA1
chr1	236046801	236047200	400	*	3	Intron (ENST00000264187.7/4811, intron 2 of 19)	1	235975830	236065090	89261	2	4811	ENST00000264187.7	17890	ENSG00000116962	NID1	nidogen 1	9_EnhA1
chr10	14613001	14614600	1600	*	5	Promoter (<=1kb)	10	14521876	14612552	90677	2	83641	ENST00000442012.5	-449	ENSG00000065809	FAM107B	family with sequence similarity 107 member B	9_EnhA1
chr10	49725401	49726800	1400	*	2	Distal Intergenic	10	49734646	49739499	4854	2	55753	ENST00000490844.1	12699	ENSG00000197444	OGDHL	oxoglutarate dehydrogenase L	9_EnhA1
chr10	90031201	90031800	600	*	2	Intron (ENST00000664430.1/105378425, intron 2 of 3)	10	89915489	89957373	41885	2	101926924	ENST00000428485.1	-73828	ENSG00000226159	LINC01375	long intergenic non-protein coding RNA 1375	9_EnhA1
chr11	129991201	129991600	400	*	2	Intron (ENST00000358825.9/56980, intron 1 of 21)	11	129948056	130002785	54730	2	56980	ENST00000531431.1	11185	ENSG00000170325	PRDM10	PR/SET domain 10	9_EnhA1
chr12	95034401	95035200	800	*	2	Intron (ENST00000333003.10/7181, intron 10 of 13)	12	95028106	95031394	3289	2	7181	ENST00000552484.1	-3007	ENSG00000120798	NR2C1	nuclear receptor subfamily 2 group C member 1	9_EnhA1
chr12	96635201	96636400	1200	*	2	Intron (ENST00000524981.9/144535, intron 32 of 67)	12	96647975	96765270	117296	1	144535	ENST00000342887.1	-11575	ENSG00000188596	CFAP54	cilia and flagella associated protein 54	9_EnhA1
chr12	104194201	104194600	400	*	2	Distal Intergenic	12	104215779	104350305	134527	1	7296	ENST00000429002.6	-21179	ENSG00000198431	TXNRD1	thioredoxin reductase 1	9_EnhA1
chr12	113799401	113800000	600	*	2	Distal Intergenic	12	113816738	113818179	1442	2	9904	ENST00000553232.1	18179	ENSG00000122965	RBM19	RNA binding motif protein 19	9_EnhA1
chr12	116798801	116799400	600	*	2	Intron (ENST00000392549.7/84900, intron 7 of 11)	12	116835997	116852945	16949	1	84900	ENST00000551251.1	-36597	ENSG00000135119	RNFT2	ring finger protein, transmembrane 2	9_EnhA1
chr12	121714001	121715600	1600	*	2	Promoter (1-2kb)	12	121712752	121782068	69317	1	144404	ENST00000449592.7	1249	ENSG00000188735	TMEM120B	transmembrane protein 120B	9_EnhA1
chr13	110052801	110053400	600	*	2	Promoter (<=1kb)	13	110053285	110054952	1668	1	104355146	ENST00000411690.2	0	ENSG00000231428	LINC00396	long intergenic non-protein coding RNA 396	9_EnhA1
chr14	22917401	22918200	800	*	2	Promoter (<=1kb)	14	22909483	22917556	8074	2	55147	ENST00000553876.2	0	ENSG00000100461	RBM23	RNA binding motif protein 23	9_EnhA1
chr14	102966001	102967000	1000	*	2	Promoter (1-2kb)	14	102944043	102968532	24490	2	9578	ENST00000559043.1	1532	ENSG00000198752	CDC42BPB	CDC42 binding protein kinase beta	9_EnhA1
chr15	67436801	67442600	5800	*	2	Intron (ENST00000335894.9/64799, intron 16 of 20)	15	67418886	67431837	12952	2	100506686	ENST00000665615.1	-4964	ENSG00000259673	IQCH-AS1	IQCH antisense RNA 1	9_EnhA1
chr15	89672201	89673600	1400	*	2	Exon (ENST00000300055.10/5346, exon 3 of 9)	15	89664367	89667640	3274	2	5346	ENST00000560330.1	-4561	ENSG00000166819	PLIN1	perilipin 1	9_EnhA1
