enhancerid	seqnames	start	end	width	strand	siteCount	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	enhancerGroup	attributes
GH01J006097	chr1	6092801	6101600	8800	*	2	Promoter (<=1kb)	1	6094316	6101180	6865	1	8514	ENST00000652911.1	0	ENSG00000069424	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	7_EnhG1	GH01J006097;HSALNG0000501:250.66;piR-35674-003:0.35;CHD5:0.18;KCNAB2:0.14;NPHP4:0.14
GH01J006098	chr1	6092801	6101600	8800	*	2	Promoter (<=1kb)	1	6094316	6101180	6865	1	8514	ENST00000652911.1	0	ENSG00000069424	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	7_EnhG1	GH01J006098;HSALNG0000501:0.66;piR-35674-003:0.35;CHD5:0.18;KCNAB2:0.14;NPHP4:0.14
GH01J006100	chr1	6092801	6101600	8800	*	2	Promoter (<=1kb)	1	6094316	6101180	6865	1	8514	ENST00000652911.1	0	ENSG00000069424	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	7_EnhG1	GH01J006100;HSALNG0000501:0.66;piR-35674-003:0.35;CHD5:0.18;KCNAB2:0.14;NPHP4:0.14
GH01J006101	chr1	6092801	6101600	8800	*	2	Promoter (<=1kb)	1	6094316	6101180	6865	1	8514	ENST00000652911.1	0	ENSG00000069424	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	7_EnhG1	GH01J006101;HSALNG0000501:0.66;piR-35674-003:0.35;CHD5:0.19;NPHP4:0.14;KCNAB2:0.14
GH01J006246	chr1	6244601	6244800	200	*	1	Promoter (<=1kb)	1	6244179	6245578	1400	1	390992	ENST00000377898.4	422	ENSG00000173673	HES3	hes family bHLH transcription factor 3	11_EnhWk	GH01J006246;HES3:250.66;GPR153:14.99;THAP3:14.76;NOL9:11.62;ICMT:7.18;lnc-ACOT7-2:0.45
GH01J006418	chr1	6418401	6419800	1400	*	3	Promoter (<=1kb)	1	6413000	6419903	6904	2	54626	ENST00000377836.8	103	ENSG00000069812	HES2	hes family bHLH transcription factor 2	11_EnhWk	GH01J006418;HES2:250.45;RNF207:10.73;RNF207-AS1:10.73;RPL22:10.73;ESPN:9.31;ACOT7:6.19;lnc-ACOT7-3:0.45;RF00017-020:0.45
GH01J006419	chr1	6418401	6419800	1400	*	3	Promoter (<=1kb)	1	6413000	6419903	6904	2	54626	ENST00000377836.8	103	ENSG00000069812	HES2	hes family bHLH transcription factor 2	11_EnhWk	GH01J006419;RPL22:10.73;RNF207:10.73;RNF207-AS1:10.73;RF00017-020:0.66;HES2:0.45;lnc-ACOT7-3:0.45;ACOT7:0.35
GH01J007991	chr1	7991401	7991800	400	*	1	Exon (ENST00000641354.1/ENST00000641354.1, exon 1 of 6)	1	8013427	8015633	2207	2	54206	ENST00000467067.1	23833	ENSG00000116285	ERRFI1	ERBB receptor feedback inhibitor 1	11_EnhWk	GH01J007991;ENSG00000284747:250.66;ERRFI1-DT:17.78;PARK7:11.61;ERRFI1:11.52;SLC45A1:10.89;TNFRSF9:10.41;PER3:9.06;VAMP3:8.80;LOC124903834:0.45
GH01J008157	chr1	8157601	8158400	800	*	1	Distal Intergenic	1	8201518	8215207	13690	1	102724539	ENST00000670361.1	-43118	ENSG00000227634	LINC01714	long intergenic non-protein coding RNA 1714	9_EnhA1	GH01J008157;SLC45A1:10.37;piR-59928-001:0.66;lnc-SLC45A1-5:0.31;ERRFI1:0.12
GH01J008257	chr1	8258001	8258800	800	*	2	Distal Intergenic	1	8208672	8215210	6539	1	102724539	ENST00000452982.1	49329	ENSG00000227634	LINC01714	long intergenic non-protein coding RNA 1714	11_EnhWk	GH01J008257;HSALNG0000621:250.66;HSALNG0000622:250.66;lnc-SLC45A1-3:250.66;LOC124903835:250.66;SLC45A1:11.33;ERRFI1:11.06;ERRFI1-DT:11.06
GH01J008274	chr1	8272801	8275000	2200	*	3	Distal Intergenic	1	8318114	8344165	26052	1	50651	ENST00000471889.7	-43114	ENSG00000162426	SLC45A1	solute carrier family 45 member 1	11_EnhWk	GH01J008274;lnc-RERE-5:250.66;lnc-SLC45A1-4:0.45;lnc-SLC45A1-3:0.37;LOC124903835:0.37;SLC45A1:0.27;ERRFI1:0.06
GH01J008342	chr1	8341801	8343800	2000	*	1	Exon (ENST00000471889.7/50651, exon 9 of 9)	1	8330428	8336109	5682	1	50651	ENST00000481265.1	11373	ENSG00000162426	SLC45A1	solute carrier family 45 member 1	11_EnhWk	GH01J008342;RERE:7.58;piR-30363:0.41;ENSG00000252254:0.37;SLC45A1:0.32
GH01J008448	chr1	8448401	8451600	3200	*	1	Intron (ENST00000337907.7/473, intron 12 of 23)	1	8425638	8430041	4404	1	102724552	ENST00000444276.1	22763	NA	RERE-AS1	RERE antisense RNA 1	7_EnhG1	GH01J008448;RERE:21.49;RERE-AS1:11.15;LOC124900452:10.82;piR-42777:0.45;HSALNG0000637:0.31;SLC45A1:0.12
GH01J008454	chr1	8457401	8458200	800	*	1	Intron (ENST00000337907.7/473, intron 12 of 23)	1	8425638	8430041	4404	1	102724552	ENST00000444276.1	31763	NA	RERE-AS1	RERE antisense RNA 1	9_EnhA1	GH01J008454;RERE:15.21;LOC124900452:11.23;RERE-AS1:11.22;ENO1:8.39;piR-42777:0.41;HSALNG0000637:0.35;SLC45A1:0.12
GH01J008457	chr1	8457401	8458200	800	*	1	Intron (ENST00000337907.7/473, intron 12 of 23)	1	8425638	8430041	4404	1	102724552	ENST00000444276.1	31763	NA	RERE-AS1	RERE antisense RNA 1	9_EnhA1	GH01J008457;LOC124900452:11.24;piR-42777:0.41;HSALNG0000637:0.35;SLC45A1:0.11;RERE:0.04
GH01J008509	chr1	8509001	8509600	600	*	1	Intron (ENST00000337907.7/473, intron 8 of 23)	1	8352406	8525939	173534	2	473	ENST00000377464.5	16339	ENSG00000142599	RERE	arginine-glutamic acid dipeptide repeats	10_EnhA2	GH01J008509;LOC124900452:250.66;MK280144-002:250.66;RERE:9.86;RERE-AS1:5.16;piR-56759-003:0.45;lnc-ENO1-5:0.37;SLC45A1:0.08
GH01J008515	chr1	8517201	8518000	800	*	1	Intron (ENST00000337907.7/473, intron 8 of 23)	1	8352406	8525939	173534	2	473	ENST00000377464.5	7939	ENSG00000142599	RERE	arginine-glutamic acid dipeptide repeats	11_EnhWk	GH01J008515;RERE:9.80;RERE-AS1:4.57;ENSG00000270282:0.66;lnc-ENO1-5:0.45;SLC45A1:0.08
GH01J008659	chr1	8662601	8664200	1600	*	1	Intron (ENST00000337907.7/473, intron 2 of 23)	1	8353943	8656371	302429	2	473	ENST00000400907.6	-6230	ENSG00000142599	RERE	arginine-glutamic acid dipeptide repeats	11_EnhWk	GH01J008659;LOC124900452:9.63;RERE:8.34;ENO1:8.33;hsa-miR-5095-002:0.31;HSALNG0142105:0.27;lnc-RERE-3:0.11;SLC45A1:0.05
GH01J008659	chr1	8664201	8664600	400	*	1	Intron (ENST00000337907.7/473, intron 2 of 23)	1	8353943	8656371	302429	2	473	ENST00000400907.6	-7830	ENSG00000142599	RERE	arginine-glutamic acid dipeptide repeats	9_EnhA1	GH01J008659;LOC124900452:9.63;RERE:8.34;ENO1:8.33;hsa-miR-5095-002:0.31;HSALNG0142105:0.27;lnc-RERE-3:0.11;SLC45A1:0.05
GH01J009142	chr1	9146201	9147800	1600	*	2	Distal Intergenic	1	9151668	9151777	110	2	407040	ENST00000385130.1	3977	ENSG00000284357	MIR34A	microRNA 34a	11_EnhWk	GH01J009142;SLC2A5:11.63;RERE-AS1:10.55;GPR157:9.03;HSALNG0000681:0.66;ENSG00000289914:0.37;MIR34AHG:0.23;H6PD:0.16;HSALNG0000677:0.04
GH01J009146	chr1	9146201	9147800	1600	*	2	Distal Intergenic	1	9151668	9151777	110	2	407040	ENST00000385130.1	3977	ENSG00000284357	MIR34A	microRNA 34a	11_EnhWk	GH01J009146;HSALNG0000681:250.66;ENSG00000289914:0.37;GPR157:0.37;MIR34AHG:0.23;H6PD:0.17;HSALNG0000677:0.04
GH01J009290	chr1	9290801	9293000	2200	*	1	Promoter (<=1kb)	1	9292894	9369532	76639	1	80176	ENST00000328089.11	0	ENSG00000171621	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1	11_EnhWk	GH01J009290;SPSB1:4.89;CTNNBIP1:4.83;piR-32670-001:0.41;H6PD:0.23;HSALNG0000677:0.06
GH01J009291	chr1	9290801	9293000	2200	*	1	Promoter (<=1kb)	1	9292894	9369532	76639	1	80176	ENST00000328089.11	0	ENSG00000171621	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1	11_EnhWk	GH01J009291;SPSB1:255.66;SLC45A1:10.48;RERE-AS1:5.88;HE855948:0.37;SLC25A33:0.06;HSALNG0000677:0.06
GH01J009337	chr1	9338201	9340200	2000	*	1	Intron (ENST00000328089.11/80176, intron 1 of 2)	1	9351431	9367863	16433	1	80176	ENST00000357898.3	-11231	ENSG00000171621	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1	11_EnhWk	GH01J009337;piR-43105-004:0.66;lnc-GPR157-6:0.41;SPSB1:0.26;SLC25A33:0.08;HSALNG0000677:0.07
GH01J009728	chr1	9730001	9732000	2000	*	1	Promoter (1-2kb)	1	9729028	9733486	4459	2	22883	ENST00000477264.1	1486	ENSG00000171603	CLSTN1	calsyntenin 1	7_EnhG1	GH01J009728;MK279940:250.66;CLSTN1:5.88;LOC124903839:0.41;PIK3CD:0.15
GH01J009730	chr1	9730001	9732000	2000	*	1	Promoter (1-2kb)	1	9729028	9733486	4459	2	22883	ENST00000477264.1	1486	ENSG00000171603	CLSTN1	calsyntenin 1	7_EnhG1	GH01J009730;MK279940:250.66;PIK3CD:4.82;CLSTN1:4.53;lnc-CTNNBIP1-8:0.45
GH01J009736	chr1	9736601	9738000	1400	*	1	3' UTR	1	9729028	9733486	4459	2	22883	ENST00000477264.1	-3115	ENSG00000171603	CLSTN1	calsyntenin 1	7_EnhG1	GH01J009736;HSALNG0000722:250.66;lnc-CTNNBIP1-8:250.66;CLSTN1:0.17;PIK3CD:0.14
GH01J009774	chr1	9776201	9779400	3200	*	2	Intron (ENST00000377298.9/22883, intron 1 of 18)	1	9729028	9751581	22554	2	22883	ENST00000435891.5	-24620	ENSG00000171603	CLSTN1	calsyntenin 1	8_EnhG2	GH01J009774;ENSG00000223989:11.77;CTNNBIP1:11.00;ENSG00000228150:10.59;LZIC:10.59;NMNAT1:10.59;RN7SKP269:10.58;CLSTN1:8.75;lnc-PIK3CD-1:0.66;lnc-PIK3CD-2:0.45;PIK3CD:0.11
GH01J009786	chr1	9787001	9790000	3000	*	2	Intron (ENST00000377298.9/22883, intron 1 of 18)	1	9729027	9823669	94643	2	22883	ENST00000650348.1	33669	ENSG00000171603	CLSTN1	calsyntenin 1	7_EnhG1	GH01J009786;CLSTN1:22.49;ENSG00000223989:12.50;CTNNBIP1:11.50;ENSG00000228150:10.74;LZIC:10.74;NMNAT1:10.74;RN7SKP269:10.74;MZT1P1:0.45;piR-57460-008:0.45;PIK3CD:0.10
GH01J010555	chr1	10555801	10556400	600	*	1	Intron (ENST00000356607.9/5195, intron 3 of 8)	1	10535888	10536289	402	1	5195	ENST00000492696.1	19913	ENSG00000142655	PEX14	peroxisomal biogenesis factor 14	7_EnhG1	GH01J010555;PGD:8.85;CENPS:5.17;piR-50437-003:0.45;RF00017-057:0.45;DFFA:0.18;HSALNG0000777:0.18;PEX14:0.18;CASZ1:0.07
GH01J011879	chr1	11881601	11882200	600	*	1	Distal Intergenic	1	11857464	11858945	1482	2	4879	ENST00000376468.4	-22656	ENSG00000120937	NPPB	natriuretic peptide B	7_EnhG1	GH01J011879;PLOD1:18.37;KIAA2013:15.38;NPPB:13.98;RNU5E-1:12.31;RNU5E-4P:12.31;NPPA-AS1:10.85;C1orf167-AS1:10.21;C1orf167:10.19;SBF1P2:5.72;ENSG00000226849:4.39;MFN2:3.38;HSALNG0000909:0.45
GH01J012146	chr1	12148201	12148800	600	*	1	Distal Intergenic	1	12166943	12167038	96	1	102465836	ENST00000622420.1	-18143	ENSG00000283789	MIR7846	microRNA 7846	11_EnhWk	GH01J012146;TNFRSF1B:24.04;MTHFR:9.71;TNFRSF8:7.52;CLCN6:7.18;AGTRAP:4.94;NPPA-AS1:4.65;FBXO6:2.13;MFN2:1.70;lnc-KIAA2013-4:0.45;lnc-KIAA2013-6:0.41;lnc-KIAA2013-5:0.37
GH01J012200	chr1	12201201	12201600	400	*	1	Intron (ENST00000376259.7/7133, intron 8 of 9)	1	12191838	12193008	1171	1	7133	ENST00000489921.1	9363	ENSG00000028137	TNFRSF1B	TNF receptor superfamily member 1B	9_EnhA1	GH01J012200;lnc-VPS13D-2:250.66;FBXO44:5.75;MN308907:0.66;MIR4632:0.41;VPS13D:0.32;TNFRSF1B:0.29
GH01J012229	chr1	12232601	12233600	1000	*	1	Promoter (2-3kb)	1	12230067	12512047	281981	1	55187	ENST00000613099.4	2534	ENSG00000048707	VPS13D	vacuolar protein sorting 13 homolog D	8_EnhG2	GH01J012229;VPS13D:250.66;UBIAD1:17.59;TNFRSF1B:10.34;RF00994-002:0.31;DHRS3:0.05
GH01J012229	chr1	12228801	12230800	2000	*	1	Promoter (<=1kb)	1	12230030	12512047	282018	1	55187	ENST00000620676.6	0	ENSG00000048707	VPS13D	vacuolar protein sorting 13 homolog D	8_EnhG2	GH01J012229;VPS13D:250.66;UBIAD1:17.59;TNFRSF1B:10.34;RF00994-002:0.31;DHRS3:0.05
GH01J012230	chr1	12228801	12230800	2000	*	1	Promoter (<=1kb)	1	12230030	12512047	282018	1	55187	ENST00000620676.6	0	ENSG00000048707	VPS13D	vacuolar protein sorting 13 homolog D	8_EnhG2	GH01J012230;VPS13D:250.66;SNORA59A:4.54;LOC124900427:0.45;TNFRSF1B:0.21
GH01J012255	chr1	12252801	12256000	3200	*	1	Promoter (<=1kb)	1	12253734	12257955	4222	1	55187	ENST00000489961.1	0	ENSG00000048707	VPS13D	vacuolar protein sorting 13 homolog D	8_EnhG2	GH01J012255;RF00994-002:0.41;VPS13D:0.32;DHRS3:0.05
GH01J012495	chr1	12495601	12496600	1000	*	1	Promoter (<=1kb)	1	12497098	12507163	10066	1	55187	ENST00000647414.1	-498	ENSG00000048707	VPS13D	vacuolar protein sorting 13 homolog D	7_EnhG1	GH01J012495;HSALNG0000940:250.66;HSALNG0142115:0.45;HSALNG0000939:0.32;DHRS3:0.13;VPS13D:0.06
GH01J012538	chr1	12538201	12538600	400	*	4	Distal Intergenic	1	12527724	12528420	697	1	105376744	ENST00000416696.1	10477	NA	LINC02766	long intergenic non-protein coding RNA 2766	7_EnhG1	GH01J012538;piR-32537:250.66;HSALNG0000943:0.41;LINC02766:0.41;DHRS3:0.19;VPS13D:0.06
GH01J012539	chr1	12540801	12541400	600	*	1	Distal Intergenic	1	12527724	12528420	697	1	105376744	ENST00000416696.1	13077	NA	LINC02766	long intergenic non-protein coding RNA 2766	9_EnhA1	GH01J012539;piR-32537:250.66;DHRS3:3.94;HSALNG0000944:0.66;LINC02766:0.37;VPS13D:0.05
GH01J012683	chr1	12688601	12690400	1800	*	1	Distal Intergenic	1	12716110	12728760	12651	1	126767	ENST00000359318.8	-25710	ENSG00000188984	AADACL3	arylacetamide deacetylase like 3	11_EnhWk	GH01J012683;AADACL4:13.35;ENSG00000226166:0.66;HSALNG0000957:0.45;AADACL3:0.32
GH01J013916	chr1	13916801	13918400	1600	*	1	Intron (ENST00000636564.1/23254, intron 1 of 2)	1	13892792	15118043	1225252	1	23254	ENST00000636203.1	24009	ENSG00000189337	KAZN	kazrin, periplakin interacting protein	11_EnhWk	GH01J013916;PDPN:9.91;HSALNG0001004:0.41;KAZN:0.35
GH01J013917	chr1	13916801	13918400	1600	*	1	Intron (ENST00000636564.1/23254, intron 1 of 2)	1	13892792	15118043	1225252	1	23254	ENST00000636203.1	24009	ENSG00000189337	KAZN	kazrin, periplakin interacting protein	11_EnhWk	GH01J013917;PDPN:9.91;HSALNG0001004:0.45;KAZN:0.32
GH01J013948	chr1	13949001	13950400	1400	*	2	Intron (ENST00000636564.1/23254, intron 1 of 2)	1	13892792	15118043	1225252	1	23254	ENST00000636203.1	56209	ENSG00000189337	KAZN	kazrin, periplakin interacting protein	9_EnhA1	GH01J013948;HSALNG0001004:0.35;HSALNG0001005:0.31;KAZN:0.23
GH01J015059	chr1	15059401	15060200	800	*	1	Exon (ENST00000636203.1/23254, exon 8 of 17)	1	15111869	15152458	40590	2	200197	ENST00000404665.4	92258	ENSG00000175147	TMEM51-AS1	TMEM51 antisense RNA 1	11_EnhWk	GH01J015059;HSALNG0001049:0.45;lnc-CASP9-5:0.29;TMEM51:0.16
GH01J015106	chr1	15104401	15107600	3200	*	1	Intron (ENST00000636203.1/23254, intron 15 of 16)	1	15111869	15152458	40590	2	200197	ENST00000404665.4	44858	ENSG00000175147	TMEM51-AS1	TMEM51 antisense RNA 1	11_EnhWk	GH01J015106;TMEM51-AS1:8.75;TMEM51:6.78;HSALNG0001050:0.37;piR-38904-001:0.32
GH01J015678	chr1	15678601	15679400	800	*	1	Distal Intergenic	1	15684320	15734769	50450	1	23207	ENST00000375799.8	-4920	ENSG00000116786	PLEKHM2	pleckstrin homology and RUN domain containing M2	11_EnhWk	GH01J015678;PLEKHM2:274.84;ENSG00000271742:250.66;CROCCP3:18.97;CASP9:14.00;SLC25A34:13.76;LINC01772:13.51;SPEN:12.96;CROCCP2:10.53;ZBTB17:10.35;RPL22P3:9.93;AGMAT:9.14;EFHD2:7.28;TMEM82:5.36;FAM131C:4.59;FHAD1:1.62;HSALNG0001101:0.66;piR-36236:0.66;RF00017-073:0.66;HSALNG0001103:0.45
GH01J015747	chr1	15747401	15748600	1200	*	2	Promoter (1-2kb)	1	15740051	15749896	9846	2	110806303	ENST00000418525.1	1296	ENSG00000224459	SLC25A34-AS1	SLC25A34 and TMEM82 antisense RNA 1	8_EnhG2	GH01J015747;CM034951-078:250.66;RF00017-075:250.66;SLC25A34-AS1-001:250.66;SLC25A34:16.43;TMEM82:10.39;CASP9:5.95;SLC25A34-AS1:0.66;FBLIM1:0.45;RF00017-074:0.45
GH01J015747	chr1	15750401	15752400	2000	*	1	Promoter (<=1kb)	1	15740051	15749896	9846	2	110806303	ENST00000418525.1	-505	ENSG00000224459	SLC25A34-AS1	SLC25A34 and TMEM82 antisense RNA 1	7_EnhG1	GH01J015747;CM034951-078:250.66;RF00017-075:250.66;SLC25A34-AS1-001:250.66;SLC25A34:16.43;TMEM82:10.39;CASP9:5.95;SLC25A34-AS1:0.66;FBLIM1:0.45;RF00017-074:0.45
GH01J015753	chr1	15752401	15758400	6000	*	1	Promoter (<=1kb)	1	15756607	15765073	8467	1	54751	ENST00000496928.6	0	ENSG00000162458	FBLIM1	filamin binding LIM protein 1	8_EnhG2	GH01J015753;HSALNG0001108:250.66;EIF1AXP1:12.91;SPEN:12.48;RPL22P3:12.38;SLC25A34:10.75;FBXO42:9.74;FBLIM1:0.66;SLC25A34-AS1:0.66;TMEM82:0.41
GH01J015754	chr1	15752401	15758400	6000	*	1	Promoter (<=1kb)	1	15756607	15765073	8467	1	54751	ENST00000496928.6	0	ENSG00000162458	FBLIM1	filamin binding LIM protein 1	8_EnhG2	GH01J015754;HSALNG0001108:250.66;SLC25A34:11.95;PLEKHM2:6.02;FBLIM1:0.66;TMEM82:0.41
GH01J015755	chr1	15752401	15758400	6000	*	1	Promoter (<=1kb)	1	15756607	15765073	8467	1	54751	ENST00000496928.6	0	ENSG00000162458	FBLIM1	filamin binding LIM protein 1	8_EnhG2	GH01J015755;FBLIM1:262.69;HSALNG0001109:250.66;CROCC:15.16;CROCCP2:12.55;SLC25A34:11.00;CROCCP3:10.02;SPEN:9.93;PLEKHM2:5.20;CASP9:5.09;EPHA2:1.63;UQCRHL:0.24
GH01J015945	chr1	15946201	15947000	800	*	1	Promoter (<=1kb)	1	15944988	15947105	2118	2	7709	ENST00000490899.1	105	ENSG00000116809	ZBTB17	zinc finger and BTB domain containing 17	9_EnhA1	GH01J015945;HSALNG0001129:250.66;lnc-HSPB7-4:250.66;NONHSAG000453.2:250.66;CLCNKA:20.46;lnc-HSPB7-5-002:0.66;ZBTB17:0.32;SPEN:0.14
GH01J015982	chr1	15983001	15984400	1400	*	1	Distal Intergenic	1	15941871	15976132	34262	2	7709	ENST00000375733.6	-6869	ENSG00000116809	ZBTB17	zinc finger and BTB domain containing 17	7_EnhG1	GH01J015982;CLCNKA:23.06;ENSG00000233078:12.03;HSPB7:11.96;PLEKHM2:10.62;RF00017-078:0.66;lnc-SRARP-3:0.45;ZBTB17:0.45;SRARP:0.35
GH01J016142	chr1	16155401	16155800	400	*	1	Promoter (<=1kb)	1	16155211	16157329	2119	1	101927479	ENST00000424774.1	190	NA	EPHA2-AS1	EPHA2 antisense RNA 1	9_EnhA1	GH01J016142;EPHA2:261.65;ENSG00000237938:29.60;SPEN:26.37;RPL22P3:20.02;ARHGEF19:17.30;CROCC:17.26;ENSG00000224621:14.04;FBLIM1:12.90;MFAP2:12.07;RPS16P1:11.88;SZRD1:10.55;FBXO42:10.02;DDI2:9.89;FAM131C:4.55;EPHA2-AS1:0.66;CM034951-081:0.45;piR-57460-016:0.37
GH01J016257	chr1	16256401	16270800	14400	*	1	Promoter (2-3kb)	1	16251082	16253593	2512	2	54455	ENST00000444116.1	-2808	ENSG00000037637	FBXO42	F-box protein 42	7_EnhG1	GH01J016257;ARHGEF19:12.86;ARHGEF19-AS1:11.14;ENSG00000233078:11.08;CLCNKA:11.08;HSPB7:11.08;ENSG00000224621:10.77;piR-39429:0.66;RF00017-080:0.41;CPLANE2:0.35;FBXO42:0.16
GH01J016258	chr1	16256401	16270800	14400	*	1	Promoter (2-3kb)	1	16251082	16253593	2512	2	54455	ENST00000444116.1	-2808	ENSG00000037637	FBXO42	F-box protein 42	7_EnhG1	GH01J016258;ARHGEF19-AS1:11.12;ENSG00000233078:11.08;CLCNKA:11.08;HSPB7:11.08;ENSG00000224621:10.77;piR-39429:0.66;RF00017-080:0.41;CPLANE2:0.35;FBXO42:0.16
GH01J016260	chr1	16256401	16270800	14400	*	1	Promoter (2-3kb)	1	16251082	16253593	2512	2	54455	ENST00000444116.1	-2808	ENSG00000037637	FBXO42	F-box protein 42	7_EnhG1	GH01J016260;ARHGEF19:11.08;piR-39429:0.45;RF00017-080:0.41;CPLANE2:0.35;FBXO42:0.16
GH01J016264	chr1	16256401	16270800	14400	*	1	Promoter (2-3kb)	1	16251082	16253593	2512	2	54455	ENST00000444116.1	-2808	ENSG00000037637	FBXO42	F-box protein 42	7_EnhG1	GH01J016264;FBXO42:10.11;RF00017-080:0.45;piR-39429:0.41;CPLANE2:0.32
GH01J016266	chr1	16256401	16270800	14400	*	1	Promoter (2-3kb)	1	16251082	16253593	2512	2	54455	ENST00000444116.1	-2808	ENSG00000037637	FBXO42	F-box protein 42	7_EnhG1	GH01J016266;ARHGEF19:15.69;CPLANE2:15.25;RF00017-080:0.66;piR-39429:0.41;FBXO42:0.18
